F1,F2,F3,blueWins
-690.2622144432733,-1207.129467088727,-10.630895823863506,0.0
-2349.014259180436,3167.3333901922997,558.932658807993,0.0
-2231.48822839722,2095.7198396540193,406.95165469897773,0.0
1369.516861371108,-299.2034716865734,-134.3159576745158,1.0
-20.9077868456902,20.205429720648826,21.506601649685997,1.0
4841.0191526472045,-2487.2385033206283,-596.6538907647029,0.0
-3180.8328148557,656.3136877006758,281.8334136808714,0.0
210.7891924447276,-187.81276379896917,-66.91264586889825,0.0
1461.3683314280368,-1472.078897774706,-205.4930873446204,1.0
3444.3412090814923,-3684.2956478053175,-623.677939279824,1.0
-4543.042361313881,4031.4519316189912,783.7355734226874,0.0
-3185.5724164381577,5334.47778949364,763.74630265946,0.0
-2137.4250629513313,1432.0836970684184,354.75128811658544,0.0
-945.5280806365996,340.77693392837534,111.45437452688232,0.0
-210.54820619672248,-76.61799776120803,12.786661742792658,1.0
-2185.9283815061412,414.4379221073307,228.91750106876714,0.0
705.0977075576005,1527.3972966090653,90.24247195110947,0.0
143.18885138170089,-2039.4960928583328,-247.00669793178594,1.0
2457.6012582286276,-3479.197503842127,-524.2320484510062,0.0
-3095.029506549891,913.6117355856604,294.4270963365357,0.0
582.1343793214362,-1178.3704374295312,-111.76244794140088,1.0
696.2248893689704,-2288.555068903458,-353.6010139260431,1.0
-1660.9896139514483,671.7074356423673,258.15918546630326,0.0
920.01703842486,-1640.8314240452512,-292.3778896115052,1.0
2445.9076313190944,1138.9849741702403,-67.47305986362731,1.0
1552.9677143796448,-1349.0888573717684,-254.5104889914845,0.0
3106.8592019984144,-1331.3277869808423,-287.3365057014953,0.0
-1569.0741553344108,1735.8512838946633,309.32602099820707,0.0
-318.8773091321542,-582.1259795279598,-90.01702116624531,0.0
1379.5091663748408,386.33354712687367,-68.02017634787722,1.0
1597.0339421827919,273.9483188443563,-99.3118145012147,1.0
3337.340920999945,-3659.3192701536204,-617.7427971464745,1.0
-1716.6991237367279,-205.3842547544017,103.60135497330963,0.0
-1738.1282437657271,1932.0085244388017,337.30451408856925,1.0
3038.7956586445953,-1868.3868528874775,-407.2498091632461,1.0
-3263.2740953665034,3734.5027669099027,619.2647298293122,0.0
-3448.3214713893894,4958.547775244095,791.0504346565491,0.0
-481.16675207639537,-364.05365062219835,0.3164607979339292,0.0
2280.474673967404,-3611.950242504993,-544.3665098054432,1.0
3746.111723989114,-2230.7058132632083,-524.2951121995328,1.0
72.85069300195585,1541.981687677921,198.2346000105887,0.0
-815.0981280604361,1867.0500332006172,277.4262568099079,0.0
548.3502370670226,-1962.7850738463799,-258.86345974995766,1.0
2000.1244581552573,-194.65463749903955,-132.28645965118164,1.0
3956.162972255712,-1615.2406081488502,-420.5746260591572,1.0
-1524.625034211584,948.5764944007452,197.54200628271946,0.0
-1205.8733391402152,1130.5858360166073,198.92707586533842,0.0
-1786.1186143593902,290.6678920253396,146.16326863753335,0.0
-1530.1760002660303,375.5244921967721,122.20366518711506,0.0
2361.291056048249,-2800.3416911438962,-455.5864683526438,0.0
-449.79221365679626,2102.5796548554326,236.9698995877883,0.0
1077.3367476436504,-1499.3372477554233,-246.27309340242928,0.0
-3192.5566878799114,5551.469730467675,856.3082627887287,1.0
-743.18171116226,-597.4717722127137,15.862006123913291,0.0
1257.2953831905456,-1048.1629488684614,-170.45806789234504,1.0
738.2365080283131,-1687.5955936051007,-170.47786175192698,1.0
-1098.26973508767,324.26713591989164,84.48379462495673,1.0
-2191.0179278363635,2942.661597262133,493.5300126118827,0.0
1405.9386519949398,-540.5158327981766,-295.11452402774836,1.0
-2033.5394298129406,5452.978819422318,622.7183036333164,0.0
3992.630806738019,-2605.1744191611365,-577.0321383722944,1.0
-486.466390374138,1209.593912060183,213.53705394667006,0.0
-837.1549063249491,2479.193760987667,320.3453482130416,1.0
-358.9992020743925,-596.6951053245389,-13.895840407090338,1.0
-3420.783635713287,2485.729651742207,526.8957737598946,0.0
575.0319361062262,-729.3447134439892,-146.34460837502564,0.0
247.82890630814867,1483.1362752970458,151.0504123078917,0.0
-3818.655438084099,3793.9100978552524,714.7545110990367,0.0
728.6475109125338,913.7374892813567,51.098166207168006,1.0
2513.951350900142,-735.6436713721794,-235.5493375702831,1.0
-4318.278589744782,4169.266961946609,766.0519266095267,0.0
1093.297748077091,548.4285890619916,-32.075211373452206,1.0
-2233.4326464904516,4013.035861182892,543.6697165618348,1.0
620.9458907368474,-1952.6695846470218,-240.700778662341,1.0
-781.8008605221391,633.5857979063858,138.2877732377402,0.0
609.4413076864189,-1189.6780368506202,-186.41214206289163,1.0
976.2260238250196,-2517.7654932287746,-313.6426225159155,1.0
31.200992396466624,-825.1020282516467,-72.31755955291665,1.0
-731.7816893893761,-281.6881700148999,62.071000901291086,1.0
-2000.8927710267196,1103.7206764896416,254.77237872910115,1.0
-1918.2365070086737,1180.9289249255387,251.87107451546925,0.0
-407.30771924795823,436.38084065625054,57.88807014880591,1.0
-339.40962137771896,473.92965033428317,39.739962464963234,1.0
3737.8413383532343,-3516.1071455422075,-649.3943596892749,1.0
1217.12782427314,-1662.054816991136,-241.09202783334942,1.0
-2118.704796977024,-597.9488200215214,28.33262914259307,0.0
-2656.3350096796617,1231.1594836873205,219.37436364353326,0.0
-4054.7174508144453,4633.825778344778,739.7014972445781,0.0
